timestamp,current_price,forecast_price,forecast_change_pct,timesfm_direction,trade_idea,confidence,entry,stop_loss,take_profit,rsi,macd,macd_signal,atr,support,resistance,outcome
2026-01-15 01:00:00-05:00,4614.5,4594.84619140625,-0.4259141530772565,bearish,POSSIBLE SHORT,90,4614.5,4642.294562829005,4568.175728618325,47.81447008273277,-5.269855680149703,-1.5603322079482669,18.529708552669977,4576.7001953125,4650.5,OPEN
2026-01-15 22:00:00-05:00,4599.39990234375,4576.67431640625,-0.4940989350788906,bearish,POSSIBLE SHORT,90,4599.39990234375,4622.04542523078,4561.657364198701,42.884778917379286,-3.770793073314053,-2.2308048409575583,15.097015258019741,4584.0,4650.5,LOSS
2026-01-21 18:00:00-05:00,4779.60009765625,4767.16748046875,-0.2601183557929151,bearish,POSSIBLE SHORT,90,4779.60009765625,4832.769324396023,4690.984719756629,42.85054299562868,10.245961282384087,23.246934172578708,35.44615115984836,4539.10009765625,4891.10009765625,LOSS
2026-02-02 19:00:00-05:00,4802.7001953125,4754.85302734375,-0.9962555650558718,bearish,POSSIBLE SHORT,90,4802.7001953125,4956.418890514692,4546.502369975514,34.014645472297715,-159.6396544608442,-134.6069255389155,102.47913013479453,4653.5,5626.7998046875,LOSS
2026-02-06 06:00:00-05:00,4909.10009765625,4937.82763671875,0.5851895152069801,bullish,POSSIBLE LONG,90,4909.10009765625,4824.968631739542,5049.31920751743,54.75491199914617,-2.686671096667851,-16.525427669501344,56.08764394447203,4670.0,5113.89990234375,WIN
2026-02-13 11:00:00-05:00,5030.0,5045.228515625,0.3027537897614314,bullish,POSSIBLE LONG,90,5030.0,4975.1386363693355,5121.435606051107,55.67165264125733,-5.376551564711917,-13.402951120827552,36.57424242044289,4900.0,5123.39990234375,LOSS
2026-03-02 11:00:00-05:00,5304.0,5226.28173828125,-1.4652764275782428,bearish,POSSIBLE SHORT,90,5304.0,5359.002582843568,5212.329028594052,43.37911660359151,23.637110136904994,37.844648420478116,36.66838856237913,5144.7998046875,5434.10009765625,LOSS
2026-03-03 08:00:00-05:00,5166.5,5054.1025390625,-2.175504905400174,bearish,POSSIBLE SHORT,90,5166.5,5250.010678628691,5027.315535618849,33.243250487544756,-33.59882690750055,-12.274743688970037,55.67378575246039,5081.39990234375,5434.10009765625,WIN
2026-03-03 19:00:00-05:00,5147.2998046875,5119.970703125,-0.5309405435761128,bearish,POSSIBLE SHORT,90,5147.2998046875,5231.579573253899,5006.833523743502,43.064908462225674,-54.576543408099496,-54.039145815656326,56.186512377599136,5005.0,5434.10009765625,OPEN
2026-03-19 23:00:00-04:00,4725.2001953125,4756.48046875,0.6619883210140113,bullish,POSSIBLE LONG,90,4725.2001953125,4660.153270279839,4833.611737033602,53.562123923588935,-33.30267106842257,-53.337917405627856,43.364616688441046,4505.0,5022.0,LOSS
2026-03-27 14:00:00-04:00,4546.10009765625,4573.4345703125,0.6012730047528504,bullish,POSSIBLE LONG,90,4546.10009765625,4490.857325202012,4638.171385079979,63.61072798043703,25.057942335890402,12.97577954479407,36.82851496949156,4348.2001953125,4585.2998046875,LOSS
2026-04-02 12:00:00-04:00,4686.5,4701.77392578125,0.32591327816600874,bullish,POSSIBLE LONG,90,4686.5,4624.4102953813635,4789.98284103106,48.40355843457825,-16.027475471799335,-17.53951466185107,41.39313641242402,4580.39990234375,4825.89990234375,OPEN
2026-04-14 22:00:00-04:00,4847.7001953125,4861.515625,0.28498935847680673,bullish,POSSIBLE LONG,90,4847.7001953125,4815.867228826508,4900.7551394558195,58.83909152008244,21.610952429370627,21.335132944382387,21.221977657327816,4664.60009765625,4895.39990234375,LOSS
2026-04-30 11:00:00-04:00,4628.10009765625,4647.76708984375,0.42494742491545734,bullish,POSSIBLE LONG,90,4628.10009765625,4596.40566759814,4680.9241477531,56.937764518811754,14.219482182651518,9.35255502107259,21.12962003874006,4522.2001953125,4658.7998046875,LOSS
2026-05-07 16:00:00-04:00,4696.0,4663.1875,-0.6987329642248723,bearish,POSSIBLE SHORT,90,4696.0,4733.518936299514,4633.468439500809,41.61697104048664,6.400955190940294,14.691665343172412,25.012624199676395,4556.10009765625,4775.2001953125,LOSS
2026-06-01 04:00:00-04:00,4527.39990234375,4508.80419921875,-0.41073692463909256,bearish,POSSIBLE SHORT,90,4527.39990234375,4554.941899164841,4481.496574308598,39.59013683895497,-2.0446604720500545,5.808313516089206,18.3613312140608,4396.10009765625,4627.10009765625,WIN
2026-06-02 22:00:00-04:00,4509.7998046875,4497.50634765625,-0.2725942960588216,bearish,POSSIBLE SHORT,90,4509.7998046875,4533.550244577824,4470.215738203628,41.95661386107902,-7.278391578137416,-4.41422678738655,15.833626593549146,4476.0,4577.2998046875,WIN
