feature,importance
sp500_return_1d,0.042373642
nasdaq_return_1d,0.041166726
sp500_return_10d,0.040821202
gold_return_1d,0.040340405
vix_return_1d,0.03918143
silver_return_10d,0.038874775
vix_return_5d,0.038677394
silver_return_1d,0.038549434
nasdaq_return_10d,0.038514063
us10y_return_10d,0.037732963
gold_return_5d,0.037561573
oil_return_10d,0.037322022
oil_return_1d,0.0372166
us10y_return_5d,0.037154365
dxy_return_5d,0.03642994
sp500_return_5d,0.036347613
nasdaq_return_5d,0.036129355
dxy_return_1d,0.035874337
oil_return_5d,0.03559896
us2y_return_5d,0.035412118
us2y_return_10d,0.03538322
silver_return_5d,0.035356745
gold_return_10d,0.03520685
vix_return_10d,0.034493834
us10y_return_1d,0.034200944
us2y_return_1d,0.034112908
dxy_return_10d,0.029966554
gold_above_sma20,0.0
gold_above_sma50,0.0
